espanol,quechua_texto,cluster_id,cluster_label,tema_clean,tipo_habla_clean,nivel_formalidad
La leche materna es el mejor alimento.,Mamaq ñukñunmi aswan allin mikhuna.,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,informal
Traiga al bebé para su control de peso.,Wawata apamuy llasayninta qhawachinaykipaq.,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,informal
Venga cada mes a controlarse la presión.,Sapa killata hamuy presionniykita qhawachikuq.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,informal
Hágase análisis de azúcar cada tres meses.,Kinsa killamanta yawar misk'i analisisniykita ruwachikuy.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,informal
¿Le cayó mal algún medicamento?,¿Ima hampichus mana allintan chayasunki?,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,entrevista,informal
Su presión está mejor controlada ahora.,Kunanqa presionniykiqa aswan allinñan kashan.,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,dialogo_medico,informal
Venga cada dos meses por su diabetes.,Iskay killamanta hamuy diabetesniykimanta.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,informal
No corte la mordedura de serpiente.,Ama kuchuychu mach'aqway kanisqanta.,1,SALUD_PEDIATRICA_FAMILIAR,URGENCIAS,dialogo_medico,informal
Dele golpes suaves en la espalda si se atora.,Wasanpi llamp'uta takay sipikunan kaptinqa.,3,EVALUACION_INTENSIDAD_DOLOR,URGENCIAS,dialogo_medico,informal
Manténgalo despierto hasta que llegue ayuda.,Rikch'asqata hap'iy yanapay chayamunankama.,1,SALUD_PEDIATRICA_FAMILIAR,URGENCIAS,dialogo_medico,informal
Aparte objetos peligrosos si convulsiona.,Manchay imakunata karunchay thaltikuptinqa.,0,MANEJO_FIEBRE_PREVENCION,URGENCIAS,dialogo_medico,informal
Traiga al niño si la fiebre no baja.,Wawata apamuy ruphay mana uraykuptinqa.,0,MANEJO_FIEBRE_PREVENCION,URGENCIAS,dialogo_medico,informal
Respire profundo cuando se sienta ansioso.,Ukhumanta samay llakisqa kachkaspayki.,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,dialogo_medico,informal
Los problemas emocionales necesitan atención.,Sonqo llakiykunaqa qhawana kanan tiyan.,7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,narracion,informal
Caminar al aire libre mejora el ánimo.,Hawa wayra ukhuta puriyqa sonqota allinchan.,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,COND_ESPECIALIZADA,narracion,informal
No tenga vergüenza de pedir ayuda.,Ama p'enqakuychu yanapata mañakuspa.,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,dialogo_medico,informal
El alcohol empeora los problemas emocionales.,Tragoman sonqo llakiykunata aswan millayman tukuchin.,7,PROBLEMAS_FUNCIONALES_SUENO,COND_ESPECIALIZADA,narracion,informal
Proteja sus labios con vaselina.,Simiykikunata wirawan qhaway.,1,SALUD_PEDIATRICA_FAMILIAR,COND_ESPECIALIZADA,dialogo_medico,informal
El sol quema más fuerte en la altura.,Intiq ruphaynin aswan sinchi orqopiqa.,6,SINTOMAS_SISTEMICOS_PIEL,COND_ESPECIALIZADA,narracion,informal
La diarrea por agua sucia es frecuente.,Qhelle unumanta q'echaqa ashkatan kan.,10,INSTRUCCIONES_MEDICACION_DOSIS,COND_ESPECIALIZADA,narracion,informal
Los parásitos son comunes en los niños.,Kurukuna erqekunapiqa ashkatan kan.,4,SEGUIMIENTO_CONTROL_MEDICO,COND_ESPECIALIZADA,narracion,informal
Doctor; me duele la cabeza,doctor; humaymi nanashan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,dialogo_medico,formal
Tengo fiebre desde ayer,noqa kayna p'unchay manta cuerpoy q'oñirishan,0,MANEJO_FIEBRE_PREVENCION,SINTOMAS,dialogo_medico,formal
Me duele mucho el estómago,noqap wiksaymi nishutan nanan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,dialogo_medico,formal
Me arde la garganta,kunkay ruparishan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,dialogo_medico,formal
Tengo tos seca hace días,noka ch'akiy uhuan kashani kayna p'unchaumanta,9,OBSERVACION_CAMBIOS_SINTOMAS,SINTOMAS,dialogo_medico,formal
Usted tiene anemia severa,qan anemiawan kashanki,6,SINTOMAS_SISTEMICOS_PIEL,DIAGNOSTICO,dialogo_medico,formal
Vamos a hacerle una radiografía,kuman orqosayki radiografiata,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,formal
Su presión está muy alta,qanpa presioniki nishuta wichashan,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,formal
Tiene una infección urinaria,qan kashanki infeccion urinariawan,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,dialogo_medico,formal
Necesitamos hacerle más análisis,ruwasunchis aswan analisista kunata,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,formal
Tome este remedio tres veces al día,chay hampita tumanqui kinsa kutita huk p'unchaypi,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,formal
Le voy a poner una inyección,kunan churasayki huk inyeccionta,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,formal
Necesita descansar cinco días,samanayqui pisqa p'unchauta,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,formal
Tome mucha agua y líquidos calientes,tumanayqui hasqha unuta q'uñita,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,formal
Vamos a limpiarle la herida,khunan pichasayqui heridayquita,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,formal
Su bebé necesita la vacuna hoy,wawaykima kunan p'unchay vacunata churasaq,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
La vacuna puede dar un poco de fiebre,vacuna churasqay q'uñirichinqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
Los niños deben vacunarse a tiempo,chay erq'ekuna vacunakunanqu p'unchauninpi,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,formal
Póngale un paño húmedo en el brazo,churanqui pañuta ch'aranchaspa maquinman,2,DOLOR_LOCALIZADO_ESPECIFICO,PREVENCION,dialogo_medico,formal
La siguiente dosis es en dos meses,huk dosisniki tupasunki iskay killamanta,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
Lávese las manos antes de cocinar,makitita maychikuy huayq'uy kayarinaquipay,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,formal
Hierva el agua antes de tomarla,unuta timpuchi tumanakipaq,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,formal
Use mosquitero para dormir,mosquiterota usay puñunayquipaq,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,dialogo_medico,formal
Los niños deben comer frutas y verduras,erq'ekuna mikhunanku frutakunata y verdurakunata,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,formal
Evite acercarse a personas con gripe,ama achuyaychu chuqlli runaqunama,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,formal
Venga a su control prenatal cada mes,hamuy wawaki wiqsayki qhawanapaq sapakilla,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,formal
Tome ácido fólico y hierro a diario,tumanki acido folicuta y hierro tawa sapa p'unchay,10,INSTRUCCIONES_MEDICACION_DOSIS,MATERNO_INFANTIL,dialogo_medico,formal
Si le duele la cabeza fuerte; venga rápido,umayki mishuta nanaqtinqa hamuy phawaylla,3,EVALUACION_INTENSIDAD_DOLOR,MATERNO_INFANTIL,dialogo_medico,formal
Su bebé está creciendo bien,wawaykika allintan wiñashan,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,formal
Las náuseas son normales al inicio,mihusqayki qutichiskayqi normallan qallaripiqa,11,SINTOMAS_DIGESTIVOS_MALESTAR,MATERNO_INFANTIL,dialogo_medico,formal
Regrese en una semana para su control,qutimuy huk semanamanta controlnikipaq,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,formal
Si la fiebre vuelve; venga de inmediato,q'oñirinkiy wahamanta hamunki chay ratuta,0,MANEJO_FIEBRE_PREVENCION,SEGUIMIENTO,dialogo_medico,formal
Traiga sus resultados en la próxima cita,apamunki resutadokikunata hamuq citapi,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,formal
¿Se siente mejor con el medicamento?,allinchu kashanki chay hanpiwan?,10,INSTRUCCIONES_MEDICACION_DOSIS,SEGUIMIENTO,dialogo_medico,formal
Vamos a revisar su herida hoy,khunan kawasunchis chay heridaquita,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,dialogo_medico,formal
Llévelo al hospital de urgencia,apay hanpina wasima phawaylla,9,OBSERVACION_CAMBIOS_SINTOMAS,URGENCIAS,dialogo_medico,formal
Póngalo de costado si vomita,churay k'achananpanmanta kutichiktin,0,MANEJO_FIEBRE_PREVENCION,URGENCIAS,dialogo_medico,formal
Presione la herida para parar la sangre,nit'iy heridanta mana yawar phawananpaq,5,DIAGNOSTICO_PROCEDIMIENTOS,URGENCIAS,dialogo_medico,formal
No mueva al accidentado,ama kuyurichiychu k'irisqa runata,2,DOLOR_LOCALIZADO_ESPECIFICO,URGENCIAS,dialogo_medico,formal
Ponga la quemadura bajo agua fría,churay rupasqata unu ukhuman,10,INSTRUCCIONES_MEDICACION_DOSIS,URGENCIAS,dialogo_medico,formal
Es normal sentirse triste a veces,normalmi kuyay kayqa a wakinkunapiqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
¿Tiene problemas para dormir últimamente?,kanchu sasachakuy puñunaykipaq ultimamentipi,7,PROBLEMAS_FUNCIONALES_SUENO,PREVENCION,dialogo_medico,formal
El estrés puede causar dolor de cabeza,yuyay saykuy causame umananayta,3,EVALUACION_INTENSIDAD_DOLOR,PREVENCION,dialogo_medico,formal
Hable con alguien cuando se sienta mal,rimay piwanpas llakiskaq kaspayqui,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
La salud mental es muy importante,yuyaypa allin kawsayninqa ancha allinmi,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,formal
El soroche causa dolor de cabeza y mareos,soroche apamun uma nanayta y kutichin,3,EVALUACION_INTENSIDAD_DOLOR,SEGUIMIENTO,dialogo_medico,formal
Tome mate de coca y descanse,tomay coca matita y samay,7,PROBLEMAS_FUNCIONALES_SUENO,SEGUIMIENTO,dialogo_medico,formal
Las infecciones respiratorias son comunes aquí,pukyu onqoy wakinkunapaq kaypi,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,formal
Abríguese bien el pecho por el frío,ayllinta tapakuy ñukñuykita chirimanta,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SEGUIMIENTO,dialogo_medico,formal
La piel se reseca mucho con el frío,qara chaquin nishuta chirimuqtin,6,SINTOMAS_SISTEMICOS_PIEL,SEGUIMIENTO,dialogo_medico,formal
Me duele el pecho al respirar.,Samayniypi qhasquypas nanawan.,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,narracion,formal
Tengo diarrea desde ayer.,Qaynamantapacha q'icha onqoywan kashani.,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,narracion,formal
Me sangra la nariz seguido.,Sapa kutillan senqaymanta yawar lloqsimun.,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,narracion,formal
No puedo mover bien el brazo.,Mana rikrayta allintachu kuyuchiyta atini.,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,narracion,formal
No puedo dormir en las noches.,Mana tutapi puñuyta atiniñachu.,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,narracion,formal
La prueba de malaria salió positiva.,Chukchu onqoymanta tupuymi lloqsimun.,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,narracion,formal
Su colesterol está elevado.,Wiraykiqa yawarniykipi sinchi wisñun kashan.,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,narracion,formal
Su corazón tiene un ritmo irregular.,Sonqoykiqa mana allintachu p'itashan.,1,SALUD_PEDIATRICA_FAMILIAR,DIAGNOSTICO,narracion,formal
Su embarazo tiene ocho semanas.,Pusaq semanayoqñan wiksayki kashan.,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,narracion,formal
Tiene una infección respiratoria.,Samayniykimanmi onqoy haykusunki.,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,narracion,formal
Toda la familia debe desparasitarse.,Llapa familiaykichismi k'urukunamanta hampiwanan.,0,MANEJO_FIEBRE_PREVENCION,TRATAMIENTO,narracion,formal
Póngase compresas tibias en la herida.,Chiri-q'oñi unuwan k'iriykita q'oñichikuy.,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,narracion,formal
Tome su pastilla de presión cada día.,Sapa p'unchaymi presión nisqa hampiykita ukyanayki.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,narracion,formal
Échese estas gotas en los ojos.,Kay sut'uykunata ñawiykiman churakuy.,2,DOLOR_LOCALIZADO_ESPECIFICO,TRATAMIENTO,narracion,formal
Haga gárgaras con agua y sal.,Kachiyoq unuwan kumu-kumuta ruway.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,narracion,formal
Las vacunas son seguras para los niños.,Vacuna nisqakunaqa wawakunapaq allinmi.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,narracion,formal
Traiga al bebé para su vacuna de seis meses.,Soqta killayoq wawata vacunaman apamuy.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,narracion,formal
La hepatitis B se vacuna al nacer.,Paqariqtinpachan hepatitis B nisqa contra vacunana.,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,narracion,formal
Todas las vacunas son gratuitas.,Llapa vacunacionqa mana qolqepaqmi.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,narracion,formal
Coma menos sal y menos azúcar.,Pisi kachillata pisi misk'illatawan mijuy.,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,narracion,formal
No deje animales entrar a la cocina.,Uywakunaqa ama wayk'una wasiman haykunqachu.,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,narracion,formal
Lleve al niño a su control cada mes.,Sapa killan wawata qhawachinaykipaq apamuy.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,narracion,formal
Tape los alimentos para que no entren moscas.,Mikhuykunata allinta p'ampay ama chuspikuna haykunanpaq.,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,narracion,formal
Desparasítese cada seis meses.,Soqta killamanta k'urukunapaq hampiwan ukyay.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,narracion,formal
No cargue cosas pesadas en el embarazo.,Wiksayki kashaqtinqa ama llasaqkunata hoqariyachu.,0,MANEJO_FIEBRE_PREVENCION,SEGUIMIENTO,narracion,formal
Su bebé tiene buen peso para su edad.,Wawaykiqa wiñayninman jina allin llasayniyoqmi.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,narracion,formal
Hágase la prueba de anemia en cada control.,Sapa kutin qhawachikuqtiyki anemia tupuyniykita ruwachikuy.,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,narracion,formal
Le explicaremos sobre planificación familiar..,Wawa miraymanta allin yuyaymanaymanta willasqaykiku.,9,OBSERVACION_CAMBIOS_SINTOMAS,SEGUIMIENTO,narracion,formal
Le voy a pedir nuevos análisis de sangre.,Yawarniykimanta wajmanta tupuyniykita mañakusayki.,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,narracion,formal
Su herida está sanando bien.,K'iriykiqa allinmi qhaliyashan.,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,narracion,formal
Traiga su registro de presión de casa.,Wasiykimanta presión tupuyniyki qelqasqaykita apamuy.,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,narracion,formal
Su siguiente cita es en quince días.,Chunka phisqayoq p'unchaymanta kutimunki.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,narracion,formal
Ha mejorado bastante desde la última vez.,Qayna kutimantapachaqa allinñan kashanki.,9,OBSERVACION_CAMBIOS_SINTOMAS,SEGUIMIENTO,narracion,formal
No ponga remedios caseros en heridas graves.,Sinchi k'iriykipiqa ama ima hampitapas churaychu.,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,narracion,formal
Descanse de las actividades que le estresan.,Llakichiqniyki llank'aykunamanta samariy.,7,PROBLEMAS_FUNCIONALES_SUENO,SEGUIMIENTO,narracion,formal
Manejar el estrés previene enfermedades.,Llakikuyta samaykachiyqa onqoykunamanta jark'asunki.,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,narracion,formal
No se aísle cuando se sienta triste.,Llakiypi kashaspaqa ama sapallaykiqa kaychu.,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,narracion,formal
Aquí tenemos ayuda profesional disponible.,Kaypin hampi kamayuqkuna yanapanasuykipaq kashanku.,1,SALUD_PEDIATRICA_FAMILIAR,SEGUIMIENTO,narracion,formal
En lluvias aumentan las enfermedades del estómago.,Paray pachaqa wiksapi onqoykuna miran.,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,narracion,formal
Abrigue bien a los niños en las madrugadas.,Sapa paqarin wawakunata allinta q'oñichiy.,7,PROBLEMAS_FUNCIONALES_SUENO,PREVENCION,narracion,formal
La conjuntivitis es común por el polvo y viento.,Wayra-hallp'awanqa ñawi onqoy sapa kutin qallarin.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,narracion,formal
Las heladas dañan la piel desprotegida.,Qasa pachaqa qaraykita k'irinman.,6,SINTOMAS_SISTEMICOS_PIEL,PREVENCION,narracion,formal
El agua limpia previene muchas enfermedades.,Ch'uya unuqa onqoykunamanta jark'awanchis.,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,narracion,formal
Me zumba el oído derecho,Paña lado rinriy q'aparyshan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,dialogo_medico,informal
Me duele la espalda baja,Wasaypa uray nanashawan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,dialogo_medico,informal
Se me hinchan los pies,Chakiymi punkishan,5,DIAGNOSTICO_PROCEDIMIENTOS,SINTOMAS,dialogo_medico,informal
Tengo náuseas y vómitos,Noq'a miyakushanipis aqtoytapis munashani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,dialogo_medico,informal
Me arden los ojos,Ñawiymi q'arashan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,dialogo_medico,informal
Tiene gastritis crónica,Gastritis cronicawanmi kashanqi,6,SINTOMAS_SISTEMICOS_PIEL,DIAGNOSTICO,dialogo_medico,informal
Le haremos una ecografía,Ecografiata urquchimusayki,11,SINTOMAS_DIGESTIVOS_MALESTAR,DIAGNOSTICO,dialogo_medico,informal
Su diabetes necesita más control,Diabetesniyki controlanan kashan,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,informal
El análisis muestra parásitos,Análisismi parásitokunata rikuchin,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,informal
Vamos a tomarle una muestra de sangre,Yawarnikita qhawachimusun,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,informal
Tome el calmante solo si duele mucho,Nishuta nanaqtinqa calmanteta tomay,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
Este remedio le dará sueño,Kay hampiy puñuyta qhonka,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,informal
Guarde las medicinas lejos de los niños,Hampikunataqa wawakunamanta karupi waqaychay,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
No tome alcohol con este remedio,Kay hampiwanqa ama tragota ojaychu,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
Tome el hierro con jugo de naranja,Fierrutaqa naranja jugopi tomay,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
La vacuna del tétanos es importante,Tétanospa vacunanmi ancha allin,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,informal
Espere veinte minutos después de vacunarse,Vacunarachicuspaka suyanayqui iskay chunka minututa,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,informal
Su hijo ya tiene todas sus vacunas,Wawaykiqa llapa vacunataña hap'in,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,dialogo_medico,informal
La campaña de vacunación empieza pronto,Vacunación kampañaqa prontollaña qallarinqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,informal
Las embarazadas deben vacunarse también,Wiksayuq warmikunapas vacunachicunanku,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,informal
Lávese los dientes tres veces al día,Kiruyniykita mayllikuy kinsa kutita punchawpi,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,informal
Cocine bien la carne y los huevos,Aychatawan runtutawan allinta wayk'uy,7,PROBLEMAS_FUNCIONALES_SUENO,PREVENCION,dialogo_medico,informal
No deje agua estancada en baldes,Ama baldepi unuta sayachiychu,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,informal
Use zapatos para caminar en el campo,Chakrapi purinaykipaq zapatuta churakuy,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,dialogo_medico,informal
Duerma ocho horas cada noche,Sapa tutam pusaq horasta puñuy,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,informal
Mantenga el ombligo del bebé limpio y seco,Wawapa puputanqa ch’uya ch’akiyuqta waqaychay,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,informal
Solo leche materna hasta los seis meses,Soqta killa kamaqa mamapa ñuñullanta qhonan,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,dialogo_medico,informal
Aliméntese bien para tener buena leche,Allin ñuñu kananpaq allinta mikuy,7,PROBLEMAS_FUNCIONALES_SUENO,MATERNO_INFANTIL,dialogo_medico,informal
¿Ha seguido la dieta que le indiqué?,Nisqay dietataqa ruwarqunkichu,9,OBSERVACION_CAMBIOS_SINTOMAS,SEGUIMIENTO,dialogo_medico,informal
Sus análisis muestran mejoría,Análisisniyki allinchasqanta rikuchin,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,dialogo_medico,informal
Vamos a pesarlo y tomarle la presión,Llasaynikitawan presionniykitawan urqhusun,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,dialogo_medico,informal
