espanol,quechua_texto,tipo_habla,nivel_formalidad,tema
Vamos a hacerle una radiografía,kuman orqosayki radiografiata,dialogo medico,formal,evaluacion
Su presión está muy alta,qanpa presioniki nishuta wichashan,dialogo medico,formal,evaluacion
Tiene una infección urinaria,qan kashanki infeccion urinariawan,dialogo medico,formal,evaluacion
Necesitamos hacerle más análisis,ruwasunchis aswan analisista kunata,dialogo medico,formal,evaluacion
Tome este remedio tres veces al día,chay hampita tumanqui kinsa kutita huk p'unchaypi,dialogo medico,formal,curacion
Le voy a poner una inyección,kunan churasayki huk inyeccionta,dialogo medico,formal,curacion
Necesita descansar cinco días,samanayqui pisqa p'unchauta,dialogo medico,formal,curacion
Tome mucha agua y líquidos calientes,tumanayqui hasqha unuta q'uñita,dialogo medico,formal,curacion
Vamos a limpiarle la herida,khunan pichasayqui heridayquita,dialogo medico,formal,curacion
Su bebé necesita la vacuna hoy,wawaykima kunan p'unchay vacunata churasaq,dialogo medico,formal,inmunizacion
La vacuna puede dar un poco de fiebre,vacuna churasqay q'uñirichinqa,dialogo medico,formal,inmunizacion
Los niños deben vacunarse a tiempo,chay erq'ekuna vacunakunanqu p'unchauninpi,dialogo medico,formal,inmunizacion
Póngale un paño húmedo en el brazo,churanqui pañuta ch'aranchaspa maquinman,dialogo medico,formal,inmunizacion
La siguiente dosis es en dos meses,huk dosisniki tupasunki iskay killamanta,dialogo medico,formal,inmunizacion
Lávese las manos antes de cocinar,makitita maychikuy huayq'uy kayarinaquipay,dialogo medico,formal,autocuidado
Hierva el agua antes de tomarla,unuta timpuchi tumanakipaq,dialogo medico,formal,autocuidado
Use mosquitero para dormir,mosquiterota usay puñunayquipaq,dialogo medico,formal,autocuidado
Los niños deben comer frutas y verduras,erq'ekuna mikhunanku frutakunata y verdurakunata,dialogo medico,formal,autocuidado
Evite acercarse a personas con gripe,ama achuyaychu chuqlli runaqunama,dialogo medico,formal,autocuidado
Venga a su control prenatal cada mes,hamuy wawaki wiqsayki qhawanapaq sapakilla,dialogo medico,formal,maternidad
Tome ácido fólico y hierro a diario,tumanki acido folicuta y hierro tawa sapa p'unchay,dialogo medico,formal,maternidad
Si le duele la cabeza fuerte; venga rápido,umayki mishuta nanaqtinqa hamuy phawaylla,dialogo medico,formal,maternidad
Su bebé está creciendo bien,wawaykika allintan wiñashan,dialogo medico,formal,maternidad
Las náuseas son normales al inicio,mihusqayki qutichiskayqi normallan qallaripiqa,dialogo medico,formal,maternidad
Regrese en una semana para su control,qutimuy huk semanamanta controlnikipaq,dialogo medico,formal,seguimiento
Si la fiebre vuelve; venga de inmediato,q'oñirinkiy wahamanta hamunki chay ratuta,dialogo medico,formal,seguimiento
Traiga sus resultados en la próxima cita,apamunki resutadokikunata hamuq citapi,dialogo medico,formal,seguimiento
¿Se siente mejor con el medicamento?,allinchu kashanki chay hanpiwan?,dialogo medico,formal,seguimiento
Vamos a revisar su herida hoy,khunan kawasunchis chay heridaquita,dialogo medico,formal,seguimiento
Llévelo al hospital de urgencia,apay hanpina wasima phawaylla,dialogo medico,formal,urgencia
Póngalo de costado si vomita,churay k'achananpanmanta kutichiktin,dialogo medico,formal,urgencia
Presione la herida para parar la sangre,nit'iy heridanta mana yawar phawananpaq,dialogo medico,formal,urgencia
No mueva al accidentado,ama kuyurichiychu k'irisqa runata,dialogo medico,formal,urgencia
Ponga la quemadura bajo agua fría,churay rupasqata unu ukhuman,dialogo medico,formal,urgencia
Es normal sentirse triste a veces,normalmi kuyay kayqa a wakinkunapiqa,dialogo medico,formal,bienestar
¿Tiene problemas para dormir últimamente?,kanchu sasachakuy puñunaykipaq ultimamentipi,dialogo medico,formal,bienestar
El estrés puede causar dolor de cabeza,yuyay saykuy causame umananayta,dialogo medico,formal,bienestar
Hable con alguien cuando se sienta mal,rimay piwanpas llakiskaq kaspayqui,dialogo medico,formal,bienestar
La salud mental es muy importante,yuyaypa allin kawsayninqa ancha allinmi,dialogo medico,formal,bienestar
El soroche causa dolor de cabeza y mareos,soroche apamun uma nanayta y kutichin,dialogo medico,formal,adaptacion
Tome mate de coca y descanse,tomay coca matita y samay,dialogo medico,formal,adaptacion
Las infecciones respiratorias son comunes aquí,pukyu onqoy wakinkunapaq kaypi,dialogo medico,formal,adaptacion
Abríguese bien el pecho por el frío,ayllinta tapakuy ñukñuykita chirimanta,dialogo medico,formal,adaptacion
La piel se reseca mucho con el frío,qara chaquin nishuta chirimuqtin,dialogo medico,formal,adaptacion
Me duele el pecho al respirar.,Samayniypi qhasquypas nanawan.,narracion,formal,sintomas
Tengo diarrea desde ayer.,Qaynamantapacha q'icha onqoywan kashani.,narracion,formal,sintomas
Me sangra la nariz seguido.,Sapa kutillan senqaymanta yawar lloqsimun.,narracion,formal,sintomas
No puedo mover bien el brazo.,Mana rikrayta allintachu kuyuchiyta atini.,narracion,formal,sintomas
No puedo dormir en las noches.,Mana tutapi puñuyta atiniñachu.,narracion,formal,sintomas
La prueba de malaria salió positiva.,Chukchu onqoymanta tupuymi lloqsimun.,narracion,formal,diagnostico
Su colesterol está elevado.,Wiraykiqa yawarniykipi sinchi wisñun kashan.,narracion,formal,diagnostico
Su corazón tiene un ritmo irregular.,Sonqoykiqa mana allintachu p'itashan.,narracion,formal,diagnostico
Su embarazo tiene ocho semanas.,Pusaq semanayoqñan wiksayki kashan.,narracion,formal,diagnostico
Tiene una infección respiratoria.,Samayniykimanmi onqoy haykusunki.,narracion,formal,diagnostico
Toda la familia debe desparasitarse.,Llapa familiaykichismi k'urukunamanta hampiwanan.,narracion,formal,medicacion
Póngase compresas tibias en la herida.,Chiri-q'oñi unuwan k'iriykita q'oñichikuy.,narracion,formal,tratamiento
Tome su pastilla de presión cada día.,Sapa p'unchaymi presión nisqa hampiykita ukyanayki.,narracion,formal,medicacion
Échese estas gotas en los ojos.,Kay sut'uykunata ñawiykiman churakuy.,narracion,formal,tratamiento
Haga gárgaras con agua y sal.,Kachiyoq unuwan kumu-kumuta ruway.,narracion,formal,tratamiento
Las vacunas son seguras para los niños.,Vacuna nisqakunaqa wawakunapaq allinmi.,narracion,formal,vacunacion
Traiga al bebé para su vacuna de seis meses.,Soqta killayoq wawata vacunaman apamuy.,narracion,formal,vacunacion
La hepatitis B se vacuna al nacer.,Paqariqtinpachan hepatitis B nisqa contra vacunana.,narracion,formal,vacunacion
Todas las vacunas son gratuitas.,Llapa vacunacionqa mana qolqepaqmi.,narracion,formal,vacunacion
Coma menos sal y menos azúcar.,Pisi kachillata pisi misk'illatawan mijuy.,narracion,formal,prevencion
No deje animales entrar a la cocina.,Uywakunaqa ama wayk'una wasiman haykunqachu.,narracion,formal,prevencion
Lleve al niño a su control cada mes.,Sapa killan wawata qhawachinaykipaq apamuy.,narracion,formal,seguimiento
Tape los alimentos para que no entren moscas.,Mikhuykunata allinta p'ampay ama chuspikuna haykunanpaq.,narracion,formal,prevencion
Desparasítese cada seis meses.,Soqta killamanta k'urukunapaq hampiwan ukyay.,narracion,formal,prevencion
No cargue cosas pesadas en el embarazo.,Wiksayki kashaqtinqa ama llasaqkunata hoqariyachu.,narracion,formal,seguimiento
Su bebé tiene buen peso para su edad.,Wawaykiqa wiñayninman jina allin llasayniyoqmi.,narracion,formal,seguimiento
Hágase la prueba de anemia en cada control.,Sapa kutin qhawachikuqtiyki anemia tupuyniykita ruwachikuy.,narracion,formal,diagnostico
Le explicaremos sobre planificación familiar..,Wawa miraymanta allin yuyaymanaymanta willasqaykiku.,narracion,formal,seguimiento
Le voy a pedir nuevos análisis de sangre.,Yawarniykimanta wajmanta tupuyniykita mañakusayki.,narracion,formal,seguimiento
Su herida está sanando bien.,K'iriykiqa allinmi qhaliyashan.,narracion,formal,seguimiento
Traiga su registro de presión de casa.,Wasiykimanta presión tupuyniyki qelqasqaykita apamuy.,narracion,formal,seguimiento
Su siguiente cita es en quince días.,Chunka phisqayoq p'unchaymanta kutimunki.,narracion,formal,seguimiento
Ha mejorado bastante desde la última vez.,Qayna kutimantapachaqa allinñan kashanki.,narracion,formal,seguimiento
No ponga remedios caseros en heridas graves.,Sinchi k'iriykipiqa ama ima hampitapas churaychu.,narracion,formal,tratamiento
Descanse de las actividades que le estresan.,Llakichiqniyki llank'aykunamanta samariy.,narracion,formal,seguimiento
Manejar el estrés previene enfermedades.,Llakikuyta samaykachiyqa onqoykunamanta jark'asunki.,narracion,formal,prevencion
No se aísle cuando se sienta triste.,Llakiypi kashaspaqa ama sapallaykiqa kaychu.,narracion,formal,seguimiento
Aquí tenemos ayuda profesional disponible.,Kaypin hampi kamayuqkuna yanapanasuykipaq kashanku.,narracion,formal,seguimiento
En lluvias aumentan las enfermedades del estómago.,Paray pachaqa wiksapi onqoykuna miran.,narracion,formal,prevencion
Abrigue bien a los niños en las madrugadas.,Sapa paqarin wawakunata allinta q'oñichiy.,narracion,formal,prevencion
La conjuntivitis es común por el polvo y viento.,Wayra-hallp'awanqa ñawi onqoy sapa kutin qallarin.,narracion,formal,prevencion
Las heladas dañan la piel desprotegida.,Qasa pachaqa qaraykita k'irinman.,narracion,formal,prevencion
El agua limpia previene muchas enfermedades.,Ch'uya unuqa onqoykunamanta jark'awanchis.,narracion,formal,prevencion
Me zumba el oído derecho,Paña lado rinriy q'aparyshan,dialogo medico,informal,sintomas
Me duele la espalda baja,Wasaypa uray nanashawan,dialogo medico,informal,sintomas
Se me hinchan los pies,Chakiymi punkishan,dialogo medico,informal,sintomas
Tengo náuseas y vómitos,Noq'a miyakushanipis aqtoytapis munashani,dialogo medico,informal,sintomas
Me arden los ojos,Ñawiymi q'arashan,dialogo medico,informal,sintomas
Tiene gastritis crónica,Gastritis cronicawanmi kashanqi,dialogo medico,informal,diagnostico
Le haremos una ecografía,Ecografiata urquchimusayki,dialogo medico,informal,diagnostico
Su diabetes necesita más control,Diabetesniyki controlanan kashan,dialogo medico,informal,diagnostico
El análisis muestra parásitos,Análisismi parásitokunata rikuchin,dialogo medico,informal,diagnostico
Vamos a tomarle una muestra de sangre,Yawarnikita qhawachimusun,dialogo medico,informal,diagnostico
Tome el calmante solo si duele mucho,Nishuta nanaqtinqa calmanteta tomay,dialogo medico,informal,tratamiento
Este remedio le dará sueño,Kay hampiy puñuyta qhonka,dialogo medico,informal,tratamiento
Guarde las medicinas lejos de los niños,Hampikunataqa wawakunamanta karupi waqaychay,dialogo medico,informal,tratamiento
No tome alcohol con este remedio,Kay hampiwanqa ama tragota ojaychu,dialogo medico,informal,tratamiento
Tome el hierro con jugo de naranja,Fierrutaqa naranja jugopi tomay,dialogo medico,informal,tratamiento
La vacuna del tétanos es importante,Tétanospa vacunanmi ancha allin,dialogo medico,informal,vacunacion
Espere veinte minutos después de vacunarse,Vacunarachicuspaka suyanayqui iskay chunka minututa,dialogo medico,informal,vacunacion
Su hijo ya tiene todas sus vacunas,Wawaykiqa llapa vacunataña hap'in,dialogo medico,informal,vacunacion
La campaña de vacunación empieza pronto,Vacunación kampañaqa prontollaña qallarinqa,dialogo medico,informal,vacunacion
Las embarazadas deben vacunarse también,Wiksayuq warmikunapas vacunachicunanku,dialogo medico,informal,vacunacion
Lávese los dientes tres veces al día,Kiruyniykita mayllikuy kinsa kutita punchawpi,dialogo medico,informal,prevencion
Cocine bien la carne y los huevos,Aychatawan runtutawan allinta wayk'uy,dialogo medico,informal,prevencion
No deje agua estancada en baldes,Ama baldepi unuta sayachiychu,dialogo medico,informal,prevencion
Use zapatos para caminar en el campo,Chakrapi purinaykipaq zapatuta churakuy,dialogo medico,informal,prevencion
Duerma ocho horas cada noche,Sapa tutam pusaq horasta puñuy,dialogo medico,informal,prevencion
Mantenga el ombligo del bebé limpio y seco,Wawapa puputanqa ch’uya ch’akiyuqta waqaychay,dialogo medico,informal,salud materno-infantil
Solo leche materna hasta los seis meses,Soqta killa kamaqa mamapa ñuñullanta qhonan,dialogo medico,informal,salud materno-infantil
Aliméntese bien para tener buena leche,Allin ñuñu kananpaq allinta mikuy,dialogo medico,informal,salud materno-infantil
¿Ha seguido la dieta que le indiqué?,Nisqay dietataqa ruwarqunkichu,dialogo medico,informal,seguimiento
Sus análisis muestran mejoría,Análisisniyki allinchasqanta rikuchin,dialogo medico,informal,seguimiento
Vamos a pesarlo y tomarle la presión,Llasaynikitawan presionniykitawan urqhusun,dialogo medico,informal,seguimiento
No deje el tratamiento aunque se sienta bien,Aman tratamientoykita saqiychu allinkashaspapas,dialogo medico,informal,seguimiento
No le dé remedios si está inconsciente,Ama hampita qoychu mana yuyaynimpi kaptin,dialogo medico,informal,emergencias
Ponga hielo en el golpe para la hinchazón,Ch'ullunkua churay mana punkinanpaq,dialogo medico,informal,emergencias
Dormir bien ayuda a la salud mental,Allin puñuyqa allin yuyayniuq qanaykipaq,dialogo medico,informal,salud mental
Busque apoyo si no controla sus emociones,Sentimientoykita mana controlayta atispaqa yanapaqta mashkay,dialogo medico,informal,salud mental
Los niños también sufren estrés,Wawakunapis estreswan qhuyaykanku,dialogo medico,informal,salud mental
Comparta tiempo con su familia,Aylluykiwan tiempota qoynakuy,dialogo medico,informal,salud mental
Las preocupaciones afectan la salud,Llakikuyqa onkuyta apamun,dialogo medico,informal,salud mental
El frío afecta los pulmones de los abuelos,Chiriqa machulakunan pulmoninta onkuchin,dialogo medico,informal,enfermedades alto-andinas
La desnutrición infantil es un problema serio,Wawakunapa desnutricionninqa ancha hatun sasachakuymi,dialogo medico,informal,enfermedades alto-andinas
Tome sopas e infusiones calientes,Sopakunata infusiónkunatawan q’uñita upyay,dialogo medico,informal,enfermedades alto-andinas
La piel se infecta fácil por la sequedad,ch’akiriwanqa qara facilta infectakun,dialogo medico,informal,enfermedades alto-andinas
El asma empeora con el frío y la altura,Asmaqa chiriywanpas alturawanpas aswanta hap'in,dialogo medico,informal,enfermedades alto-andinas
¿Te sientes enfermo(a)?,Qampa onqosqa qinachu kachkanki?,dialogo medico,informal,sintomas
¿Comenzaste a sentirte enfermo(a) hoy?,Qampachu qallakuykun kanan punchaw onqoynikipi?,dialogo medico,informal,sintomas
¿Cuántos días te has sentido enfermo(a)?,Qayka punchawñam onqoynikpiqa?,dialogo medico,informal,sintomas
¿La enfermedad está aquí?,Onqoynikichu kaynikipi kachkan?,dialogo medico,informal,sintomas
¿Sientes náuseas?,Qamchu millakusqayuq kachkanki?,dialogo medico,informal,sintomas
¿Las náuseas comenzaron hoy?,Millakusqaykichu qallarin kanan punchaypi?,dialogo medico,informal,sintomas
¿Cuántos días has tenido náuseas?,Qayka punchawñam qampa millakusqawan kachkanki?,dialogo medico,informal,sintomas
¿Has estado vomitando?,Qamchu weqocharanki?,dialogo medico,informal,sintomas
¿Hay sangre en tu vómito?,Karqachu yawar weqochasaykipi?,dialogo medico,informal,sintomas
Tu vómito tiene color negro?,Karqachu yanaqsa weqochasaykipi?,dialogo medico,informal,sintomas
¿Has tenido diarrea?,Qamchu qechachakuywan karanki?,dialogo medico,informal,sintomas
¿Cuántas veces has tenido diarrea hoy?,Qayka kutitammich qechachakuywan kanan punchaw karqanki?,dialogo medico,informal,sintomas
¿Tu diarrea de hoy llenaría esto?,Chay qechachakaykita kay punchawpi quntaykachayku kuman?,dialogo medico,informal,sintomas
¿De qué color es la diarrea?,Ima llimpinmi qechakusqayki?,dialogo medico,informal,sintomas
¿Es rojo?,Pukachu?,respuesta breve,informal,sintomas
¿Es amarillo?,Qelluchu?,respuesta breve,informal,sintomas
¿Es verde?,Qomerchu?,respuesta breve,informal,sintomas
¿Es negro?,Yanachu?,respuesta breve,informal,sintomas
¿Cuándo fue la última vez que defecaste?,Qaynaqtachu qepanpi wik'saykita evakuaranki?,dialogo medico,informal,sintomas
Ha habido sangre en tus heces?,Karqachu ima yawarpas chay evakuasqa cuerpopi?,dialogo medico,informal,sintomas
¿Estás sangrando por el recto?,Yawartawanchu lluqsichkanki rectuykimanta?,dialogo medico,informal,sintomas
¿Tus heces han sido negras?,Yanayasqachu chay evakuasqayki cuerpon?,dialogo medico,informal,sintomas
¿Tienes fiebre?,Fiebrayuqchu kachkanki?,dialogo medico,informal,sintomas
¿Cuántos días has tenido fiebre?,Qayka punchawñam fiebrayuq kachkanki?,dialogo medico,informal,sintomas
¿Arde cuando orinas?,Rupachkanchu ispakutiki?,dialogo medico,informal,sintomas
¿Estás orinando más de lo habitual?,Ispakuchkankichu achkanta wan qinallamanta?,dialogo medico,informal,sintomas
¿Hay sangre en la orina?,Yawarchu kan urinaykipi?,dialogo medico,informal,sintomas
¿Cuándo fue la última vez que comiste?,Qaynaqtachu qepanpi mikuykuranki?,dialogo medico,informal,sintomas
¿Tienes hambre?,Yarqaywanchu kachkanki?,dialogo medico,informal,sintomas
¿Tienes parásitos (lombrices)?,Wiksaykipichu urukunakuna kachkan?,dialogo medico,informal,diagnostico
¿Tienes malaria?,Qamchu kachkanki malariyawan?,dialogo medico,informal,diagnostico
¿Tienes tuberculosis?,Qamchu kachkanki tuberculosiswan?,dialogo medico,informal,diagnostico
¿Sabes qué significa el término VIH?,Qamchu yachanki VIH iman nisqanta?,dialogo medico,informal,diagnostico
¿Sabes qué significa el término SIDA?,Qamchu yachanki SIDA iman nisqanta?,dialogo medico,informal,diagnostico
¿Estás infectado(a) con el virus VIH?,Qamchu kachkanki VIH viruswan?,dialogo medico,informal,diagnostico
¿Tienes SIDA?,Qamchu kachkanki SIDA nisqanwan?,dialogo medico,informal,diagnostico
Necesitas un análisis de sangre para el virus VIH.,Qampaqa yawarnikita analizananpaqmi chay VIH virus qawanampaq.,dialogo medico,informal,diagnostico
¿Te duele esta articulación que estoy tocando?,Qampachu nanachkan kay tulluyki tinkunampi qapiruykupi?,dialogo medico,informal,sintomas
¿Te duele alguna otra articulación?,Qampachu nanachkan huklla tulluyki tinkunampi?,dialogo medico,informal,sintomas
¿Qué articulación te duele más?,Mayqin tulluyki tinkunmi aswan nanachkan?,dialogo medico,informal,sintomas
¿Te duele este músculo que estoy tocando?,Nanachkanchu kay kallpaykipa aychan qapiruykupi?,dialogo medico,informal,sintomas
¿Te duele algún otro músculo?,Qampachu nanachkan huklla kallpaykipa aychan?,dialogo medico,informal,sintomas
¿Dónde está el dolor muscular?,Maypim kay kallpayki aychan nanachkan?,dialogo medico,informal,sintomas
¿Este músculo tiene calambre?,Kay kallpayki aychanchu kalambriyuk kachkan?,dialogo medico,informal,sintomas
¿Alguna vez has tenido algún hueso roto?,Imata kutillapas qampa tulluykikuna pakikurqachu?,dialogo medico,informal,sintomas
¿Qué huesos te has roto?,Ima tulluykikunata pakikurqanki?,dialogo medico,informal,sintomas
¿Duele cuando hago esto?,Nanachisunkichu kaynata ruwaptiy?,dialogo medico,informal,sintomas
Haz esto.,Ruwaykuy kaynata.,respuesta breve,informal,sintomas
Necesitas una radiografía de tu hueso.,Qampa tulluykita rayos X (equistam)wan qhawachiyta munanki.,dialogo medico,informal,diagnostico
Examinaré la radiografía y te diré lo que veo.,"Ñuqam qhawakusaq chay rayos X-ta, qhawasqayta nisqayki.",dialogo medico,informal,diagnostico
El hueso está roto aquí.,Tulluykim kaypi pakisqa kachkan.,dialogo medico,informal,diagnostico
El hueso no está roto aquí.,Tulluykim kaypi mana pakisqachu.,dialogo medico,informal,diagnostico
Necesitas un yeso para ayudar a que el hueso sane.,Tulluykita allinchananpaq yesuta churayta munanki.,dialogo medico,informal,tratamiento
No te quites el yeso.,Ama chay yesuta kuyuchinkichu.,dialogo medico,informal,tratamiento
No mojes el yeso.,Ama chay yesuta qochichinkichu.,dialogo medico,informal,tratamiento
Necesitas una férula para ayudar a que la lesión sane.,Qanmi huk tablillata munanki hiridaykita yanapananpaq allinchakunampaq.,dialogo medico,informal,tratamiento
Puedes quitarte la férula para limpiarte.,Qanmi urquykuyta atinki chay tablillata mayninaykipaq.,dialogo medico,informal,tratamiento
La férula debe volver a colocarse después de que te limpies.,Chay tablillata kutichiyta tiyan mayninaykimanta qhipa.,dialogo medico,informal,tratamiento
Necesitas una placa metálica y tornillos para ayudar a que tu hueso sane.,Qanmi huk metal placata tornillokunawan munanki tulluykita yanapananpaq allinchakunampaq.,dialogo medico,informal,tratamiento
Necesitamos llevarte a la sala de operaciones para realizar una cirugía.,Ñuqayku qamta apasayku operacion cuartuman qallpachinanpaq.,dialogo medico,informal,tratamiento
Su hijo(a) está enfermo(a).,Wawaykim unqusqa kachkan.,dialogo medico,informal,salud materno-infantil
Su hijo(a) está lastimado(a).,Wawaykim hirisqam kachkan.,dialogo medico,informal,salud materno-infantil
Necesitamos cuidar a su hijo(a).,Ñuqaykum qawanayku wawaykita.,dialogo medico,informal,salud materno-infantil
Necesita permitirnos que su hijo(a) se quede por hoy.,Qanmi saqiyku wawaykita kaypi kay punchawlla ñuqaykuman.,dialogo medico,informal,salud materno-infantil
Necesita permitirnos que su hijo(a) se quede aquí.,Qanmi saqiwankiku wawaykita kaypi ñuqaykuman.,dialogo medico,informal,salud materno-infantil
Puede quedarse con su hijo(a).,Qanmi wawaykiwan kanki kaypi.,dialogo medico,informal,salud materno-infantil
Permítanos examinar a su hijo(a) en privado.,Ñuqaykuman saqiy wawaykita allinta qawaykunaykupaq.,dialogo medico,informal,salud materno-infantil
Su hijo(a) mejorará pronto.,Wawaykim utqaymanta allinchakunqa.,dialogo medico,informal,salud materno-infantil
Este medicamento ayudará a su hijo(a).,Kay hampi wawaykita yanapanqa.,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) comió hoy?,Wawaykichu mikurqa kay punchawpi?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) comió ayer?,Wawaykichu mikurqa qayna punchawpi?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) ha orinado hoy?,Wawaykicha ispakurqa kay punchawpi?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) ha hecho deposición hoy?,Wawaykicha wiksanmanta evakuarqa kay punchawpi?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) hizo deposición ayer?,Wawaykicha wiksanmanta evakuarqa qayna punchawpi?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) ha tenido diarrea?,Wawaykichu qechawan karqa?,dialogo medico,informal,salud materno-infantil
¿Su hijo(a) ha estado vomitando?,Wawaykichu weqowan karqa?,dialogo medico,informal,salud materno-infantil
Su hijo(a) parece saludable.,Wawaykim allin rikurinqa kachkan.,dialogo medico,informal,salud materno-infantil
