espanol,quechua_texto,cluster_id,cluster_label,tipo_habla,nivel_formalidad,tema
Presione la herida para parar la sangre,nit'iy heridanta mana yawar phawananpaq,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,urgencia
No mueva al accidentado,ama kuyurichiychu k'irisqa runata,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,urgencia
Ponga la quemadura bajo agua fría,churay rupasqata unu ukhuman,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,urgencia
Es normal sentirse triste a veces,normalmi kuyay kayqa a wakinkunapiqa,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,bienestar
¿Tiene problemas para dormir últimamente?,kanchu sasachakuy puñunaykipaq ultimamentipi,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,bienestar
El estrés puede causar dolor de cabeza,yuyay saykuy causame umananayta,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,bienestar
Hable con alguien cuando se sienta mal,rimay piwanpas llakiskaq kaspayqui,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,bienestar
La salud mental es muy importante,yuyaypa allin kawsayninqa ancha allinmi,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,bienestar
El soroche causa dolor de cabeza y mareos,soroche apamun uma nanayta y kutichin,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,adaptacion
Tome mate de coca y descanse,tomay coca matita y samay,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,adaptacion
Las infecciones respiratorias son comunes aquí,pukyu onqoy wakinkunapaq kaypi,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,adaptacion
Abríguese bien el pecho por el frío,ayllinta tapakuy ñukñuykita chirimanta,0,GESTION_SALUD_GENERAL,dialogo medico,formal,adaptacion
La piel se reseca mucho con el frío,qara chaquin nishuta chirimuqtin,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,adaptacion
Me duele el pecho al respirar.,Samayniypi qhasquypas nanawan.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,narracion,formal,sintomas
Tengo diarrea desde ayer.,Qaynamantapacha q'icha onqoywan kashani.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,sintomas
Me sangra la nariz seguido.,Sapa kutillan senqaymanta yawar lloqsimun.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,sintomas
No puedo mover bien el brazo.,Mana rikrayta allintachu kuyuchiyta atini.,0,GESTION_SALUD_GENERAL,narracion,formal,sintomas
No puedo dormir en las noches.,Mana tutapi puñuyta atiniñachu.,0,GESTION_SALUD_GENERAL,narracion,formal,sintomas
La prueba de malaria salió positiva.,Chukchu onqoymanta tupuymi lloqsimun.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,diagnostico
Su colesterol está elevado.,Wiraykiqa yawarniykipi sinchi wisñun kashan.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,diagnostico
Su corazón tiene un ritmo irregular.,Sonqoykiqa mana allintachu p'itashan.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,diagnostico
Su embarazo tiene ocho semanas.,Pusaq semanayoqñan wiksayki kashan.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,diagnostico
Tiene una infección respiratoria.,Samayniykimanmi onqoy haykusunki.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,diagnostico
Toda la familia debe desparasitarse.,Llapa familiaykichismi k'urukunamanta hampiwanan.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,medicacion
Póngase compresas tibias en la herida.,Chiri-q'oñi unuwan k'iriykita q'oñichikuy.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,tratamiento
Tome su pastilla de presión cada día.,Sapa p'unchaymi presión nisqa hampiykita ukyanayki.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,medicacion
Échese estas gotas en los ojos.,Kay sut'uykunata ñawiykiman churakuy.,1,DOLOR_LOCALIZADO,narracion,formal,tratamiento
Haga gárgaras con agua y sal.,Kachiyoq unuwan kumu-kumuta ruway.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,tratamiento
Las vacunas son seguras para los niños.,Vacuna nisqakunaqa wawakunapaq allinmi.,1,DOLOR_LOCALIZADO,narracion,formal,vacunacion
Traiga al bebé para su vacuna de seis meses.,Soqta killayoq wawata vacunaman apamuy.,6,DOLOR_PECHO_RESPIRATORIO,narracion,formal,vacunacion
La hepatitis B se vacuna al nacer.,Paqariqtinpachan hepatitis B nisqa contra vacunana.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,vacunacion
Todas las vacunas son gratuitas.,Llapa vacunacionqa mana qolqepaqmi.,1,DOLOR_LOCALIZADO,narracion,formal,vacunacion
Coma menos sal y menos azúcar.,Pisi kachillata pisi misk'illatawan mijuy.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,prevencion
No deje animales entrar a la cocina.,Uywakunaqa ama wayk'una wasiman haykunqachu.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,prevencion
Lleve al niño a su control cada mes.,Sapa killan wawata qhawachinaykipaq apamuy.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,seguimiento
Tape los alimentos para que no entren moscas.,Mikhuykunata allinta p'ampay ama chuspikuna haykunanpaq.,1,DOLOR_LOCALIZADO,narracion,formal,prevencion
Desparasítese cada seis meses.,Soqta killamanta k'urukunapaq hampiwan ukyay.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,prevencion
No cargue cosas pesadas en el embarazo.,Wiksayki kashaqtinqa ama llasaqkunata hoqariyachu.,1,DOLOR_LOCALIZADO,narracion,formal,seguimiento
Su bebé tiene buen peso para su edad.,Wawaykiqa wiñayninman jina allin llasayniyoqmi.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,seguimiento
Hágase la prueba de anemia en cada control.,Sapa kutin qhawachikuqtiyki anemia tupuyniykita ruwachikuy.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,diagnostico
Le explicaremos sobre planificación familiar..,Wawa miraymanta allin yuyaymanaymanta willasqaykiku.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,seguimiento
Le voy a pedir nuevos análisis de sangre.,Yawarniykimanta wajmanta tupuyniykita mañakusayki.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,seguimiento
Su herida está sanando bien.,K'iriykiqa allinmi qhaliyashan.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,seguimiento
Traiga su registro de presión de casa.,Wasiykimanta presión tupuyniyki qelqasqaykita apamuy.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,seguimiento
Su siguiente cita es en quince días.,Chunka phisqayoq p'unchaymanta kutimunki.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,seguimiento
Ha mejorado bastante desde la última vez.,Qayna kutimantapachaqa allinñan kashanki.,0,GESTION_SALUD_GENERAL,narracion,formal,seguimiento
No ponga remedios caseros en heridas graves.,Sinchi k'iriykipiqa ama ima hampitapas churaychu.,1,DOLOR_LOCALIZADO,narracion,formal,tratamiento
Descanse de las actividades que le estresan.,Llakichiqniyki llank'aykunamanta samariy.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,seguimiento
Manejar el estrés previene enfermedades.,Llakikuyta samaykachiyqa onqoykunamanta jark'asunki.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,prevencion
No se aísle cuando se sienta triste.,Llakiypi kashaspaqa ama sapallaykiqa kaychu.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,seguimiento
Aquí tenemos ayuda profesional disponible.,Kaypin hampi kamayuqkuna yanapanasuykipaq kashanku.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,formal,seguimiento
En lluvias aumentan las enfermedades del estómago.,Paray pachaqa wiksapi onqoykuna miran.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,prevencion
Abrigue bien a los niños en las madrugadas.,Sapa paqarin wawakunata allinta q'oñichiy.,1,DOLOR_LOCALIZADO,narracion,formal,prevencion
La conjuntivitis es común por el polvo y viento.,Wayra-hallp'awanqa ñawi onqoy sapa kutin qallarin.,2,PROCEDIMIENTOS_DIAGNOSTICOS,narracion,formal,prevencion
Las heladas dañan la piel desprotegida.,Qasa pachaqa qaraykita k'irinman.,1,DOLOR_LOCALIZADO,narracion,formal,prevencion
El agua limpia previene muchas enfermedades.,Ch'uya unuqa onqoykunamanta jark'awanchis.,5,INSTRUCCIONES_MEDICACION_DOSIS,narracion,formal,prevencion
Me zumba el oído derecho,Paña lado rinriy q'aparyshan,0,GESTION_SALUD_GENERAL,dialogo medico,informal,sintomas
Me duele la espalda baja,Wasaypa uray nanashawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,sintomas
Se me hinchan los pies,Chakiymi punkishan,1,DOLOR_LOCALIZADO,dialogo medico,informal,sintomas
Tengo náuseas y vómitos,Noq'a miyakushanipis aqtoytapis munashani,1,DOLOR_LOCALIZADO,dialogo medico,informal,sintomas
Me arden los ojos,Ñawiymi q'arashan,1,DOLOR_LOCALIZADO,dialogo medico,informal,sintomas
Tiene gastritis crónica,Gastritis cronicawanmi kashanqi,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,diagnostico
Le haremos una ecografía,Ecografiata urquchimusayki,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,diagnostico
Su diabetes necesita más control,Diabetesniyki controlanan kashan,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,diagnostico
El análisis muestra parásitos,Análisismi parásitokunata rikuchin,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,diagnostico
Vamos a tomarle una muestra de sangre,Yawarnikita qhawachimusun,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,diagnostico
Tome el calmante solo si duele mucho,Nishuta nanaqtinqa calmanteta tomay,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,tratamiento
Este remedio le dará sueño,Kay hampiy puñuyta qhonka,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,tratamiento
Guarde las medicinas lejos de los niños,Hampikunataqa wawakunamanta karupi waqaychay,1,DOLOR_LOCALIZADO,dialogo medico,informal,tratamiento
No tome alcohol con este remedio,Kay hampiwanqa ama tragota ojaychu,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,tratamiento
Tome el hierro con jugo de naranja,Fierrutaqa naranja jugopi tomay,0,GESTION_SALUD_GENERAL,dialogo medico,informal,tratamiento
La vacuna del tétanos es importante,Tétanospa vacunanmi ancha allin,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,vacunacion
Espere veinte minutos después de vacunarse,Vacunarachicuspaka suyanayqui iskay chunka minututa,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,vacunacion
Su hijo ya tiene todas sus vacunas,Wawaykiqa llapa vacunataña hap'in,1,DOLOR_LOCALIZADO,dialogo medico,informal,vacunacion
La campaña de vacunación empieza pronto,Vacunación kampañaqa prontollaña qallarinqa,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,vacunacion
Las embarazadas deben vacunarse también,Wiksayuq warmikunapas vacunachicunanku,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,vacunacion
Lávese los dientes tres veces al día,Kiruyniykita mayllikuy kinsa kutita punchawpi,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,prevencion
Cocine bien la carne y los huevos,Aychatawan runtutawan allinta wayk'uy,1,DOLOR_LOCALIZADO,dialogo medico,informal,prevencion
No deje agua estancada en baldes,Ama baldepi unuta sayachiychu,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,prevencion
Use zapatos para caminar en el campo,Chakrapi purinaykipaq zapatuta churakuy,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,prevencion
Duerma ocho horas cada noche,Sapa tutam pusaq horasta puñuy,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,prevencion
Mantenga el ombligo del bebé limpio y seco,Wawapa puputanqa ch’uya ch’akiyuqta waqaychay,0,GESTION_SALUD_GENERAL,dialogo medico,informal,salud materno-infantil
Solo leche materna hasta los seis meses,Soqta killa kamaqa mamapa ñuñullanta qhonan,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,salud materno-infantil
Aliméntese bien para tener buena leche,Allin ñuñu kananpaq allinta mikuy,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,salud materno-infantil
¿Ha seguido la dieta que le indiqué?,Nisqay dietataqa ruwarqunkichu,0,GESTION_SALUD_GENERAL,dialogo medico,informal,seguimiento
Sus análisis muestran mejoría,Análisisniyki allinchasqanta rikuchin,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,seguimiento
Vamos a pesarlo y tomarle la presión,Llasaynikitawan presionniykitawan urqhusun,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,seguimiento
No deje el tratamiento aunque se sienta bien,Aman tratamientoykita saqiychu allinkashaspapas,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,seguimiento
No le dé remedios si está inconsciente,Ama hampita qoychu mana yuyaynimpi kaptin,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,emergencias
Ponga hielo en el golpe para la hinchazón,Ch'ullunkua churay mana punkinanpaq,0,GESTION_SALUD_GENERAL,dialogo medico,informal,emergencias
Dormir bien ayuda a la salud mental,Allin puñuyqa allin yuyayniuq qanaykipaq,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,salud mental
Busque apoyo si no controla sus emociones,Sentimientoykita mana controlayta atispaqa yanapaqta mashkay,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,salud mental
Los niños también sufren estrés,Wawakunapis estreswan qhuyaykanku,1,DOLOR_LOCALIZADO,dialogo medico,informal,salud mental
Comparta tiempo con su familia,Aylluykiwan tiempota qoynakuy,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,salud mental
Las preocupaciones afectan la salud,Llakikuyqa onkuyta apamun,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,salud mental
El frío afecta los pulmones de los abuelos,Chiriqa machulakunan pulmoninta onkuchin,1,DOLOR_LOCALIZADO,dialogo medico,informal,enfermedades alto-andinas
La desnutrición infantil es un problema serio,Wawakunapa desnutricionninqa ancha hatun sasachakuymi,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,enfermedades alto-andinas
Tome sopas e infusiones calientes,Sopakunata infusiónkunatawan q’uñita upyay,1,DOLOR_LOCALIZADO,dialogo medico,informal,enfermedades alto-andinas
La piel se infecta fácil por la sequedad,ch’akiriwanqa qara facilta infectakun,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,enfermedades alto-andinas
