espanol,quechua_texto,tema_clean,tipo_habla_clean,nivel_formalidad,formal_bin,n_tokens_esp,len_esp,len_que
No corte la mordedura de serpiente.,Ama kuchuychu mach'aqway kanisqanta.,URGENCIAS,dialogo_medico,informal,0,6,35,36
Dele golpes suaves en la espalda si se atora.,Wasanpi llamp'uta takay sipikunan kaptinqa.,URGENCIAS,dialogo_medico,informal,0,9,45,43
Manténgalo despierto hasta que llegue ayuda.,Rikch'asqata hap'iy yanapay chayamunankama.,URGENCIAS,dialogo_medico,informal,0,6,44,43
Aparte objetos peligrosos si convulsiona.,Manchay imakunata karunchay thaltikuptinqa.,URGENCIAS,dialogo_medico,informal,0,5,41,43
Traiga al niño si la fiebre no baja.,Wawata apamuy ruphay mana uraykuptinqa.,URGENCIAS,dialogo_medico,informal,0,8,36,39
Respire profundo cuando se sienta ansioso.,Ukhumanta samay llakisqa kachkaspayki.,COND_ESPECIALIZADA,dialogo_medico,informal,0,6,42,38
Los problemas emocionales necesitan atención.,Sonqo llakiykunaqa qhawana kanan tiyan.,COND_ESPECIALIZADA,narracion,informal,0,5,45,39
Caminar al aire libre mejora el ánimo.,Hawa wayra ukhuta puriyqa sonqota allinchan.,COND_ESPECIALIZADA,narracion,informal,0,7,38,44
No tenga vergüenza de pedir ayuda.,Ama p'enqakuychu yanapata mañakuspa.,COND_ESPECIALIZADA,dialogo_medico,informal,0,6,34,36
El alcohol empeora los problemas emocionales.,Tragoman sonqo llakiykunata aswan millayman tukuchin.,COND_ESPECIALIZADA,narracion,informal,0,6,45,53
Proteja sus labios con vaselina.,Simiykikunata wirawan qhaway.,COND_ESPECIALIZADA,dialogo_medico,informal,0,5,32,29
El sol quema más fuerte en la altura.,Intiq ruphaynin aswan sinchi orqopiqa.,COND_ESPECIALIZADA,narracion,informal,0,8,37,38
La diarrea por agua sucia es frecuente.,Qhelle unumanta q'echaqa ashkatan kan.,COND_ESPECIALIZADA,narracion,informal,0,7,39,38
Los parásitos son comunes en los niños.,Kurukuna erqekunapiqa ashkatan kan.,COND_ESPECIALIZADA,narracion,informal,0,7,39,35
Doctor; me duele la cabeza,doctor; humaymi nanashan,SINTOMAS,dialogo_medico,formal,1,5,26,24
Tengo fiebre desde ayer,noqa kayna p'unchay manta cuerpoy q'oñirishan,SINTOMAS,dialogo_medico,formal,1,4,23,45
Me duele mucho el estómago,noqap wiksaymi nishutan nanan,SINTOMAS,dialogo_medico,formal,1,5,26,29
Me arde la garganta,kunkay ruparishan,SINTOMAS,dialogo_medico,formal,1,4,19,17
Tengo tos seca hace días,noka ch'akiy uhuan kashani kayna p'unchaumanta,SINTOMAS,dialogo_medico,formal,1,5,24,46
Usted tiene anemia severa,qan anemiawan kashanki,DIAGNOSTICO,dialogo_medico,formal,1,4,25,22
Vamos a hacerle una radiografía,kuman orqosayki radiografiata,DIAGNOSTICO,dialogo_medico,formal,1,5,31,29
Su presión está muy alta,qanpa presioniki nishuta wichashan,DIAGNOSTICO,dialogo_medico,formal,1,5,24,34
Tiene una infección urinaria,qan kashanki infeccion urinariawan,DIAGNOSTICO,dialogo_medico,formal,1,4,28,34
Necesitamos hacerle más análisis,ruwasunchis aswan analisista kunata,DIAGNOSTICO,dialogo_medico,formal,1,4,32,35
Tome este remedio tres veces al día,chay hampita tumanqui kinsa kutita huk p'unchaypi,TRATAMIENTO,dialogo_medico,formal,1,7,35,49
Le voy a poner una inyección,kunan churasayki huk inyeccionta,TRATAMIENTO,dialogo_medico,formal,1,6,28,32
Necesita descansar cinco días,samanayqui pisqa p'unchauta,TRATAMIENTO,dialogo_medico,formal,1,4,29,27
Tome mucha agua y líquidos calientes,tumanayqui hasqha unuta q'uñita,TRATAMIENTO,dialogo_medico,formal,1,6,36,31
Vamos a limpiarle la herida,khunan pichasayqui heridayquita,TRATAMIENTO,dialogo_medico,formal,1,5,27,31
Su bebé necesita la vacuna hoy,wawaykima kunan p'unchay vacunata churasaq,PREVENCION,dialogo_medico,formal,1,6,30,42
La vacuna puede dar un poco de fiebre,vacuna churasqay q'uñirichinqa,PREVENCION,dialogo_medico,formal,1,8,37,30
Los niños deben vacunarse a tiempo,chay erq'ekuna vacunakunanqu p'unchauninpi,PREVENCION,dialogo_medico,formal,1,6,34,42
Póngale un paño húmedo en el brazo,churanqui pañuta ch'aranchaspa maquinman,PREVENCION,dialogo_medico,formal,1,7,34,40
La siguiente dosis es en dos meses,huk dosisniki tupasunki iskay killamanta,PREVENCION,dialogo_medico,formal,1,7,34,40
Lávese las manos antes de cocinar,makitita maychikuy huayq'uy kayarinaquipay,PREVENCION,dialogo_medico,formal,1,6,33,42
Hierva el agua antes de tomarla,unuta timpuchi tumanakipaq,PREVENCION,dialogo_medico,formal,1,6,31,26
Use mosquitero para dormir,mosquiterota usay puñunayquipaq,PREVENCION,dialogo_medico,formal,1,4,26,31
Los niños deben comer frutas y verduras,erq'ekuna mikhunanku frutakunata y verdurakunata,PREVENCION,dialogo_medico,formal,1,7,39,48
Evite acercarse a personas con gripe,ama achuyaychu chuqlli runaqunama,PREVENCION,dialogo_medico,formal,1,6,36,33
Venga a su control prenatal cada mes,hamuy wawaki wiqsayki qhawanapaq sapakilla,MATERNO_INFANTIL,dialogo_medico,formal,1,7,36,42
Tome ácido fólico y hierro a diario,tumanki acido folicuta y hierro tawa sapa p'unchay,MATERNO_INFANTIL,dialogo_medico,formal,1,7,35,50
Si le duele la cabeza fuerte; venga rápido,umayki mishuta nanaqtinqa hamuy phawaylla,MATERNO_INFANTIL,dialogo_medico,formal,1,8,42,41
Su bebé está creciendo bien,wawaykika allintan wiñashan,MATERNO_INFANTIL,dialogo_medico,formal,1,5,27,27
Las náuseas son normales al inicio,mihusqayki qutichiskayqi normallan qallaripiqa,MATERNO_INFANTIL,dialogo_medico,formal,1,6,34,46
Regrese en una semana para su control,qutimuy huk semanamanta controlnikipaq,SEGUIMIENTO,dialogo_medico,formal,1,7,37,38
Si la fiebre vuelve; venga de inmediato,q'oñirinkiy wahamanta hamunki chay ratuta,SEGUIMIENTO,dialogo_medico,formal,1,7,39,41
Traiga sus resultados en la próxima cita,apamunki resutadokikunata hamuq citapi,SEGUIMIENTO,dialogo_medico,formal,1,7,40,38
¿Se siente mejor con el medicamento?,allinchu kashanki chay hanpiwan?,SEGUIMIENTO,dialogo_medico,formal,1,6,36,32
Vamos a revisar su herida hoy,khunan kawasunchis chay heridaquita,SEGUIMIENTO,dialogo_medico,formal,1,6,29,35
Llévelo al hospital de urgencia,apay hanpina wasima phawaylla,URGENCIAS,dialogo_medico,formal,1,5,31,29
Póngalo de costado si vomita,churay k'achananpanmanta kutichiktin,URGENCIAS,dialogo_medico,formal,1,5,28,36
Presione la herida para parar la sangre,nit'iy heridanta mana yawar phawananpaq,URGENCIAS,dialogo_medico,formal,1,7,39,39
No mueva al accidentado,ama kuyurichiychu k'irisqa runata,URGENCIAS,dialogo_medico,formal,1,4,23,33
Ponga la quemadura bajo agua fría,churay rupasqata unu ukhuman,URGENCIAS,dialogo_medico,formal,1,6,33,28
Es normal sentirse triste a veces,normalmi kuyay kayqa a wakinkunapiqa,PREVENCION,dialogo_medico,formal,1,6,33,36
¿Tiene problemas para dormir últimamente?,kanchu sasachakuy puñunaykipaq ultimamentipi,PREVENCION,dialogo_medico,formal,1,5,41,44
El estrés puede causar dolor de cabeza,yuyay saykuy causame umananayta,PREVENCION,dialogo_medico,formal,1,7,38,31
Hable con alguien cuando se sienta mal,rimay piwanpas llakiskaq kaspayqui,PREVENCION,dialogo_medico,formal,1,7,38,34
La salud mental es muy importante,yuyaypa allin kawsayninqa ancha allinmi,PREVENCION,dialogo_medico,formal,1,6,33,39
El soroche causa dolor de cabeza y mareos,soroche apamun uma nanayta y kutichin,SEGUIMIENTO,dialogo_medico,formal,1,8,41,37
Tome mate de coca y descanse,tomay coca matita y samay,SEGUIMIENTO,dialogo_medico,formal,1,6,28,25
Las infecciones respiratorias son comunes aquí,pukyu onqoy wakinkunapaq kaypi,SEGUIMIENTO,dialogo_medico,formal,1,6,46,30
Abríguese bien el pecho por el frío,ayllinta tapakuy ñukñuykita chirimanta,SEGUIMIENTO,dialogo_medico,formal,1,7,35,38
La piel se reseca mucho con el frío,qara chaquin nishuta chirimuqtin,SEGUIMIENTO,dialogo_medico,formal,1,8,35,32
Me duele el pecho al respirar.,Samayniypi qhasquypas nanawan.,SINTOMAS,narracion,formal,1,6,30,30
Tengo diarrea desde ayer.,Qaynamantapacha q'icha onqoywan kashani.,SINTOMAS,narracion,formal,1,4,25,40
Me sangra la nariz seguido.,Sapa kutillan senqaymanta yawar lloqsimun.,SINTOMAS,narracion,formal,1,5,27,42
No puedo mover bien el brazo.,Mana rikrayta allintachu kuyuchiyta atini.,SINTOMAS,narracion,formal,1,6,29,42
No puedo dormir en las noches.,Mana tutapi puñuyta atiniñachu.,SINTOMAS,narracion,formal,1,6,30,31
La prueba de malaria salió positiva.,Chukchu onqoymanta tupuymi lloqsimun.,DIAGNOSTICO,narracion,formal,1,6,36,37
Su colesterol está elevado.,Wiraykiqa yawarniykipi sinchi wisñun kashan.,DIAGNOSTICO,narracion,formal,1,4,27,44
Su corazón tiene un ritmo irregular.,Sonqoykiqa mana allintachu p'itashan.,DIAGNOSTICO,narracion,formal,1,6,36,37
Su embarazo tiene ocho semanas.,Pusaq semanayoqñan wiksayki kashan.,DIAGNOSTICO,narracion,formal,1,5,31,35
Tiene una infección respiratoria.,Samayniykimanmi onqoy haykusunki.,DIAGNOSTICO,narracion,formal,1,4,33,33
Toda la familia debe desparasitarse.,Llapa familiaykichismi k'urukunamanta hampiwanan.,TRATAMIENTO,narracion,formal,1,5,36,49
Póngase compresas tibias en la herida.,Chiri-q'oñi unuwan k'iriykita q'oñichikuy.,TRATAMIENTO,narracion,formal,1,6,38,42
Tome su pastilla de presión cada día.,Sapa p'unchaymi presión nisqa hampiykita ukyanayki.,TRATAMIENTO,narracion,formal,1,7,37,51
Échese estas gotas en los ojos.,Kay sut'uykunata ñawiykiman churakuy.,TRATAMIENTO,narracion,formal,1,6,31,37
Haga gárgaras con agua y sal.,Kachiyoq unuwan kumu-kumuta ruway.,TRATAMIENTO,narracion,formal,1,6,29,34
Las vacunas son seguras para los niños.,Vacuna nisqakunaqa wawakunapaq allinmi.,PREVENCION,narracion,formal,1,7,39,39
Traiga al bebé para su vacuna de seis meses.,Soqta killayoq wawata vacunaman apamuy.,PREVENCION,narracion,formal,1,9,44,39
La hepatitis B se vacuna al nacer.,Paqariqtinpachan hepatitis B nisqa contra vacunana.,PREVENCION,narracion,formal,1,7,34,51
Todas las vacunas son gratuitas.,Llapa vacunacionqa mana qolqepaqmi.,PREVENCION,narracion,formal,1,5,32,35
Coma menos sal y menos azúcar.,Pisi kachillata pisi misk'illatawan mijuy.,PREVENCION,narracion,formal,1,6,30,42
No deje animales entrar a la cocina.,Uywakunaqa ama wayk'una wasiman haykunqachu.,PREVENCION,narracion,formal,1,7,36,44
Lleve al niño a su control cada mes.,Sapa killan wawata qhawachinaykipaq apamuy.,SEGUIMIENTO,narracion,formal,1,8,36,43
Tape los alimentos para que no entren moscas.,Mikhuykunata allinta p'ampay ama chuspikuna haykunanpaq.,PREVENCION,narracion,formal,1,8,45,56
Desparasítese cada seis meses.,Soqta killamanta k'urukunapaq hampiwan ukyay.,PREVENCION,narracion,formal,1,4,30,45
No cargue cosas pesadas en el embarazo.,Wiksayki kashaqtinqa ama llasaqkunata hoqariyachu.,SEGUIMIENTO,narracion,formal,1,7,39,50
Su bebé tiene buen peso para su edad.,Wawaykiqa wiñayninman jina allin llasayniyoqmi.,SEGUIMIENTO,narracion,formal,1,8,37,47
Hágase la prueba de anemia en cada control.,Sapa kutin qhawachikuqtiyki anemia tupuyniykita ruwachikuy.,DIAGNOSTICO,narracion,formal,1,8,43,59
Le explicaremos sobre planificación familiar..,Wawa miraymanta allin yuyaymanaymanta willasqaykiku.,SEGUIMIENTO,narracion,formal,1,5,46,52
Le voy a pedir nuevos análisis de sangre.,Yawarniykimanta wajmanta tupuyniykita mañakusayki.,SEGUIMIENTO,narracion,formal,1,8,41,50
Su herida está sanando bien.,K'iriykiqa allinmi qhaliyashan.,SEGUIMIENTO,narracion,formal,1,5,28,31
Traiga su registro de presión de casa.,Wasiykimanta presión tupuyniyki qelqasqaykita apamuy.,SEGUIMIENTO,narracion,formal,1,7,38,53
Su siguiente cita es en quince días.,Chunka phisqayoq p'unchaymanta kutimunki.,SEGUIMIENTO,narracion,formal,1,7,36,41
Ha mejorado bastante desde la última vez.,Qayna kutimantapachaqa allinñan kashanki.,SEGUIMIENTO,narracion,formal,1,7,41,41
No ponga remedios caseros en heridas graves.,Sinchi k'iriykipiqa ama ima hampitapas churaychu.,TRATAMIENTO,narracion,formal,1,7,44,49
Descanse de las actividades que le estresan.,Llakichiqniyki llank'aykunamanta samariy.,SEGUIMIENTO,narracion,formal,1,7,44,41
Manejar el estrés previene enfermedades.,Llakikuyta samaykachiyqa onqoykunamanta jark'asunki.,PREVENCION,narracion,formal,1,5,40,52
No se aísle cuando se sienta triste.,Llakiypi kashaspaqa ama sapallaykiqa kaychu.,SEGUIMIENTO,narracion,formal,1,7,36,44
Aquí tenemos ayuda profesional disponible.,Kaypin hampi kamayuqkuna yanapanasuykipaq kashanku.,SEGUIMIENTO,narracion,formal,1,5,42,51
En lluvias aumentan las enfermedades del estómago.,Paray pachaqa wiksapi onqoykuna miran.,PREVENCION,narracion,formal,1,7,50,38
Abrigue bien a los niños en las madrugadas.,Sapa paqarin wawakunata allinta q'oñichiy.,PREVENCION,narracion,formal,1,8,43,42
La conjuntivitis es común por el polvo y viento.,Wayra-hallp'awanqa ñawi onqoy sapa kutin qallarin.,PREVENCION,narracion,formal,1,9,48,50
Las heladas dañan la piel desprotegida.,Qasa pachaqa qaraykita k'irinman.,PREVENCION,narracion,formal,1,6,39,33
El agua limpia previene muchas enfermedades.,Ch'uya unuqa onqoykunamanta jark'awanchis.,PREVENCION,narracion,formal,1,6,44,42
Me zumba el oído derecho,Paña lado rinriy q'aparyshan,SINTOMAS,dialogo_medico,informal,0,5,24,28
Me duele la espalda baja,Wasaypa uray nanashawan,SINTOMAS,dialogo_medico,informal,0,5,24,23
Se me hinchan los pies,Chakiymi punkishan,SINTOMAS,dialogo_medico,informal,0,5,22,18
Tengo náuseas y vómitos,Noq'a miyakushanipis aqtoytapis munashani,SINTOMAS,dialogo_medico,informal,0,4,23,41
Me arden los ojos,Ñawiymi q'arashan,SINTOMAS,dialogo_medico,informal,0,4,17,17
Tiene gastritis crónica,Gastritis cronicawanmi kashanqi,DIAGNOSTICO,dialogo_medico,informal,0,3,23,31
Le haremos una ecografía,Ecografiata urquchimusayki,DIAGNOSTICO,dialogo_medico,informal,0,4,24,26
Su diabetes necesita más control,Diabetesniyki controlanan kashan,DIAGNOSTICO,dialogo_medico,informal,0,5,32,32
El análisis muestra parásitos,Análisismi parásitokunata rikuchin,DIAGNOSTICO,dialogo_medico,informal,0,4,29,34
Vamos a tomarle una muestra de sangre,Yawarnikita qhawachimusun,DIAGNOSTICO,dialogo_medico,informal,0,7,37,25
Tome el calmante solo si duele mucho,Nishuta nanaqtinqa calmanteta tomay,TRATAMIENTO,dialogo_medico,informal,0,7,36,35
Este remedio le dará sueño,Kay hampiy puñuyta qhonka,TRATAMIENTO,dialogo_medico,informal,0,5,26,25
Guarde las medicinas lejos de los niños,Hampikunataqa wawakunamanta karupi waqaychay,TRATAMIENTO,dialogo_medico,informal,0,7,39,44
No tome alcohol con este remedio,Kay hampiwanqa ama tragota ojaychu,TRATAMIENTO,dialogo_medico,informal,0,6,32,34
Tome el hierro con jugo de naranja,Fierrutaqa naranja jugopi tomay,TRATAMIENTO,dialogo_medico,informal,0,7,34,31
La vacuna del tétanos es importante,Tétanospa vacunanmi ancha allin,PREVENCION,dialogo_medico,informal,0,6,35,31
Espere veinte minutos después de vacunarse,Vacunarachicuspaka suyanayqui iskay chunka minututa,PREVENCION,dialogo_medico,informal,0,6,42,51
Su hijo ya tiene todas sus vacunas,Wawaykiqa llapa vacunataña hap'in,PREVENCION,dialogo_medico,informal,0,7,34,33
La campaña de vacunación empieza pronto,Vacunación kampañaqa prontollaña qallarinqa,PREVENCION,dialogo_medico,informal,0,6,39,43
Las embarazadas deben vacunarse también,Wiksayuq warmikunapas vacunachicunanku,PREVENCION,dialogo_medico,informal,0,5,39,38
Lávese los dientes tres veces al día,Kiruyniykita mayllikuy kinsa kutita punchawpi,PREVENCION,dialogo_medico,informal,0,7,36,45
Cocine bien la carne y los huevos,Aychatawan runtutawan allinta wayk'uy,PREVENCION,dialogo_medico,informal,0,7,33,37
No deje agua estancada en baldes,Ama baldepi unuta sayachiychu,PREVENCION,dialogo_medico,informal,0,6,32,29
Use zapatos para caminar en el campo,Chakrapi purinaykipaq zapatuta churakuy,PREVENCION,dialogo_medico,informal,0,7,36,39
Duerma ocho horas cada noche,Sapa tutam pusaq horasta puñuy,PREVENCION,dialogo_medico,informal,0,5,28,30
Mantenga el ombligo del bebé limpio y seco,Wawapa puputanqa ch’uya ch’akiyuqta waqaychay,MATERNO_INFANTIL,dialogo_medico,informal,0,8,42,45
Solo leche materna hasta los seis meses,Soqta killa kamaqa mamapa ñuñullanta qhonan,MATERNO_INFANTIL,dialogo_medico,informal,0,7,39,43
Aliméntese bien para tener buena leche,Allin ñuñu kananpaq allinta mikuy,MATERNO_INFANTIL,dialogo_medico,informal,0,6,38,33
¿Ha seguido la dieta que le indiqué?,Nisqay dietataqa ruwarqunkichu,SEGUIMIENTO,dialogo_medico,informal,0,7,36,30
Sus análisis muestran mejoría,Análisisniyki allinchasqanta rikuchin,SEGUIMIENTO,dialogo_medico,informal,0,4,29,37
Vamos a pesarlo y tomarle la presión,Llasaynikitawan presionniykitawan urqhusun,SEGUIMIENTO,dialogo_medico,informal,0,7,36,42
No deje el tratamiento aunque se sienta bien,Aman tratamientoykita saqiychu allinkashaspapas,SEGUIMIENTO,dialogo_medico,informal,0,8,44,47
No le dé remedios si está inconsciente,Ama hampita qoychu mana yuyaynimpi kaptin,URGENCIAS,dialogo_medico,informal,0,7,38,41
Ponga hielo en el golpe para la hinchazón,Ch'ullunkua churay mana punkinanpaq,URGENCIAS,dialogo_medico,informal,0,8,41,35
Dormir bien ayuda a la salud mental,Allin puñuyqa allin yuyayniuq qanaykipaq,COND_ESPECIALIZADA,dialogo_medico,informal,0,7,35,40
Busque apoyo si no controla sus emociones,Sentimientoykita mana controlayta atispaqa yanapaqta mashkay,COND_ESPECIALIZADA,dialogo_medico,informal,0,7,41,60
Los niños también sufren estrés,Wawakunapis estreswan qhuyaykanku,COND_ESPECIALIZADA,dialogo_medico,informal,0,5,31,33
Comparta tiempo con su familia,Aylluykiwan tiempota qoynakuy,COND_ESPECIALIZADA,dialogo_medico,informal,0,5,30,29
Las preocupaciones afectan la salud,Llakikuyqa onkuyta apamun,COND_ESPECIALIZADA,dialogo_medico,informal,0,5,35,25
El frío afecta los pulmones de los abuelos,Chiriqa machulakunan pulmoninta onkuchin,COND_ESPECIALIZADA,dialogo_medico,informal,0,8,42,40
La desnutrición infantil es un problema serio,Wawakunapa desnutricionninqa ancha hatun sasachakuymi,COND_ESPECIALIZADA,dialogo_medico,informal,0,7,45,53
Tome sopas e infusiones calientes,Sopakunata infusiónkunatawan q’uñita upyay,COND_ESPECIALIZADA,dialogo_medico,informal,0,5,33,42
La piel se infecta fácil por la sequedad,ch’akiriwanqa qara facilta infectakun,COND_ESPECIALIZADA,dialogo_medico,informal,0,8,40,37
El asma empeora con el frío y la altura,Asmaqa chiriywanpas alturawanpas aswanta hap'in,COND_ESPECIALIZADA,dialogo_medico,informal,0,9,39,47
¿Te sientes enfermo(a)?,Qampa onqosqa qinachu kachkanki?,SINTOMAS,dialogo_medico,informal,0,3,23,32
¿Comenzaste a sentirte enfermo(a) hoy?,Qampachu qallakuykun kanan punchaw onqoynikipi?,SINTOMAS,dialogo_medico,informal,0,5,38,47
¿Cuántos días te has sentido enfermo(a)?,Qayka punchawñam onqoynikpiqa?,SINTOMAS,dialogo_medico,informal,0,6,40,30
¿La enfermedad está aquí?,Onqoynikichu kaynikipi kachkan?,SINTOMAS,dialogo_medico,informal,0,4,25,31
¿Sientes náuseas?,Qamchu millakusqayuq kachkanki?,SINTOMAS,dialogo_medico,informal,0,2,17,31
¿Las náuseas comenzaron hoy?,Millakusqaykichu qallarin kanan punchaypi?,SINTOMAS,dialogo_medico,informal,0,4,28,42
¿Cuántos días has tenido náuseas?,Qayka punchawñam qampa millakusqawan kachkanki?,SINTOMAS,dialogo_medico,informal,0,5,33,47
¿Has estado vomitando?,Qamchu weqocharanki?,SINTOMAS,dialogo_medico,informal,0,3,22,20
¿Hay sangre en tu vómito?,Karqachu yawar weqochasaykipi?,SINTOMAS,dialogo_medico,informal,0,5,25,30
Tu vómito tiene color negro?,Karqachu yanaqsa weqochasaykipi?,SINTOMAS,dialogo_medico,informal,0,5,28,32
¿Has tenido diarrea?,Qamchu qechachakuywan karanki?,SINTOMAS,dialogo_medico,informal,0,3,20,30
¿Cuántas veces has tenido diarrea hoy?,Qayka kutitammich qechachakuywan kanan punchaw karqanki?,SINTOMAS,dialogo_medico,informal,0,6,38,56
¿Tu diarrea de hoy llenaría esto?,Chay qechachakaykita kay punchawpi quntaykachayku kuman?,SINTOMAS,dialogo_medico,informal,0,6,33,56
¿De qué color es la diarrea?,Ima llimpinmi qechakusqayki?,SINTOMAS,dialogo_medico,informal,0,6,28,28
¿Es rojo?,Pukachu?,SINTOMAS,respuesta_breve,informal,0,2,9,8
¿Es amarillo?,Qelluchu?,SINTOMAS,respuesta_breve,informal,0,2,13,9
¿Es verde?,Qomerchu?,SINTOMAS,respuesta_breve,informal,0,2,10,9
¿Es negro?,Yanachu?,SINTOMAS,respuesta_breve,informal,0,2,10,8
¿Cuándo fue la última vez que defecaste?,Qaynaqtachu qepanpi wik'saykita evakuaranki?,SINTOMAS,dialogo_medico,informal,0,7,40,44
Ha habido sangre en tus heces?,Karqachu ima yawarpas chay evakuasqa cuerpopi?,SINTOMAS,dialogo_medico,informal,0,6,30,46
¿Estás sangrando por el recto?,Yawartawanchu lluqsichkanki rectuykimanta?,SINTOMAS,dialogo_medico,informal,0,5,30,42
¿Tus heces han sido negras?,Yanayasqachu chay evakuasqayki cuerpon?,SINTOMAS,dialogo_medico,informal,0,5,27,39
¿Tienes fiebre?,Fiebrayuqchu kachkanki?,SINTOMAS,dialogo_medico,informal,0,2,15,23
¿Cuántos días has tenido fiebre?,Qayka punchawñam fiebrayuq kachkanki?,SINTOMAS,dialogo_medico,informal,0,5,32,37
¿Arde cuando orinas?,Rupachkanchu ispakutiki?,SINTOMAS,dialogo_medico,informal,0,3,20,24
¿Estás orinando más de lo habitual?,Ispakuchkankichu achkanta wan qinallamanta?,SINTOMAS,dialogo_medico,informal,0,6,35,43
¿Hay sangre en la orina?,Yawarchu kan urinaykipi?,SINTOMAS,dialogo_medico,informal,0,5,24,24
¿Cuándo fue la última vez que comiste?,Qaynaqtachu qepanpi mikuykuranki?,SINTOMAS,dialogo_medico,informal,0,7,38,33
¿Tienes hambre?,Yarqaywanchu kachkanki?,SINTOMAS,dialogo_medico,informal,0,2,15,23
¿Tienes parásitos (lombrices)?,Wiksaykipichu urukunakuna kachkan?,DIAGNOSTICO,dialogo_medico,informal,0,3,30,34
¿Tienes malaria?,Qamchu kachkanki malariyawan?,DIAGNOSTICO,dialogo_medico,informal,0,2,16,29
¿Tienes tuberculosis?,Qamchu kachkanki tuberculosiswan?,DIAGNOSTICO,dialogo_medico,informal,0,2,21,33
